Timestamp,GHI_MEAN,DNI_MEAN,DHI_MEAN,ModA_MEAN,ModB_MEAN,Tamb_MEAN,RH_MEAN,WSgust_MEAN,BP_MEAN,Precipitation_SUM,TModA_MEAN,TModB_MEAN,WS_MEAN,WD_CIRC_MEAN
2021-09-20 00:00:00,-1.0,-0.2,-1.2,0.0,0.0,22.2,93.8,0.5,947.5,0.0,21.5,21.8,0.3,314.6
2021-09-20 01:00:00,-0.9,-0.2,-1.2,0.0,0.0,22.4,92.9,0.7,947.0,0.0,21.8,22.2,0.4,287.2
2021-09-20 02:00:00,-1.4,-0.4,-1.6,0.0,0.0,21.6,93.9,0.5,946.3,0.0,20.3,20.6,0.3,304.1
2021-09-20 03:00:00,-1.8,-0.4,-2.0,0.0,0.0,20.6,96.2,0.8,945.7,0.0,19.5,19.9,0.5,276.1
2021-09-20 04:00:00,-1.9,-0.4,-2.1,0.0,0.0,20.9,95.4,1.1,945.6,0.0,19.9,20.1,0.7,255.7
2021-09-20 05:00:00,-1.8,-0.3,-2.0,0.0,0.0,20.3,97.7,0.1,945.9,0.0,19.4,19.8,0.0,357.5
2021-09-20 06:00:00,35.9,24.9,32.3,35.0,35.3,20.7,98.0,0.1,945.6,0.0,20.5,21.5,0.1,0.6
2021-09-20 07:00:00,237.7,283.8,143.5,217.8,216.7,23.5,88.0,0.7,947.8,0.0,26.2,33.2,0.3,338.5
2021-09-20 08:00:00,457.7,444.4,214.5,435.4,433.6,26.7,71.2,0.9,948.7,0.0,44.7,52.4,0.5,352.8
2021-09-20 09:00:00,613.2,422.5,299.4,593.6,594.4,28.6,61.9,1.4,949.0,0.0,59.7,58.4,0.8,67.9
2021-09-20 10:00:00,809.3,559.4,308.1,779.6,785.2,30.1,56.5,1.4,949.0,0.0,72.2,67.3,0.7,106.7
2021-09-20 11:00:00,844.2,440.1,415.0,812.9,814.1,31.1,57.6,2.2,948.4,0.0,74.8,68.7,1.4,25.5
2021-09-20 12:00:00,751.4,354.9,399.7,719.1,718.8,31.1,58.1,3.0,947.7,0.0,67.0,61.3,2.1,353.0
2021-09-20 13:00:00,752.9,382.9,394.1,714.2,713.8,31.9,54.6,3.2,946.6,0.0,69.2,61.4,2.2,37.7
2021-09-20 14:00:00,814.5,475.2,423.8,771.5,772.3,32.2,52.9,3.5,945.6,0.0,70.8,60.0,2.5,22.6
2021-09-20 15:00:00,363.3,86.3,306.2,337.5,335.2,31.1,55.7,3.0,945.0,0.0,51.1,46.0,2.2,19.1
2021-09-20 16:00:00,189.0,50.0,168.4,170.3,169.1,30.0,61.9,2.8,944.3,0.0,40.7,36.7,2.2,47.3
2021-09-20 17:00:00,97.8,7.9,96.5,88.4,87.8,29.6,63.0,1.9,944.0,0.0,35.5,34.1,1.4,48.9
2021-09-20 18:00:00,2.8,-0.2,2.5,3.8,3.7,27.8,73.7,0.2,944.8,0.0,27.5,27.8,0.1,5.7
2021-09-20 19:00:00,-1.1,-0.2,-1.4,0.0,0.0,26.6,80.3,0.3,945.8,0.0,26.1,26.5,0.2,17.0
2021-09-20 20:00:00,-1.2,-0.8,-1.5,0.0,0.0,25.8,82.5,2.2,946.9,1.6,25.4,25.8,1.5,334.3
2021-09-20 21:00:00,-0.5,-0.6,-0.6,0.0,0.0,23.2,86.3,3.2,948.0,0.0,22.5,22.8,2.4,259.3
2021-09-20 22:00:00,-0.8,-0.3,-1.0,0.0,0.0,22.6,90.9,1.3,948.0,0.0,22.0,22.3,0.9,226.0
2021-09-20 23:00:00,-0.6,-0.3,-0.8,0.0,0.0,24.0,86.0,3.2,948.0,0.1,23.6,24.0,2.3,156.5
2021-09-21 00:00:00,-1.1,-0.3,-1.3,0.0,0.0,23.3,85.4,2.0,947.5,0.0,23.0,23.4,1.5,340.9
2021-09-21 01:00:00,-1.8,-0.4,-2.1,0.0,0.0,22.8,91.2,2.3,947.0,0.0,22.5,22.9,1.8,184.8
2021-09-21 02:00:00,-1.0,-0.4,-1.2,0.0,0.0,23.7,92.6,3.6,947.0,0.0,23.3,23.6,2.7,188.2
2021-09-21 03:00:00,-0.9,-0.3,-1.1,0.0,0.0,23.7,93.8,3.5,947.0,0.0,23.5,23.8,2.6,191.6
2021-09-21 04:00:00,-0.8,-0.2,-1.0,0.0,0.0,23.6,95.0,2.6,947.0,0.0,23.6,23.9,1.9,194.0
