Timestamp,GHI_MEAN,GHI_MAX,DNI_MEAN,DNI_MAX,DHI_MEAN,DHI_MAX,ModA_MEAN,ModA_MAX,ModB_MEAN,ModB_MAX,Tamb_MEAN,Tamb_MAX,RH_MEAN,RH_MAX,WS_MEAN,WS_MAX,WSgust_MEAN,WSgust_MAX,WSstdev_MEAN,WD_CIRC_MEAN,WDstdev_CIRC_MEAN,BP_MEAN,BP_MAX,Cleaning_SUM,Precipitation_SUM,TModA_MEAN,TModA_MAX,TModB_MEAN,TModB_MAX,Hour,DayOfMonth,Month,WeekOfYear
2021-09-20 00:00:00,-1.0,-0.8,-0.2,-0.2,-1.2,-1.0,0.0,0.0,0.0,0.0,22.2,22.4,93.8,95.8,0.3,1.5,0.5,1.9,0.2,314.6,0.7,947.5,948,0,0.0,21.5,21.8,21.8,22.1,0,20,9,38
2021-09-20 01:00:00,-0.9,-0.7,-0.2,-0.2,-1.2,-1.0,0.0,0.0,0.0,0.0,22.4,22.6,92.9,96.0,0.4,1.2,0.7,1.4,0.3,287.2,1.0,947.0,947,0,0.0,21.8,22.1,22.2,22.4,1,20,9,38
2021-09-20 02:00:00,-1.4,-1.0,-0.4,-0.2,-1.6,-1.3,0.0,0.0,0.0,0.0,21.6,22.4,93.9,96.9,0.3,1.7,0.5,2.2,0.2,304.1,0.6,946.3,947,0,0.0,20.3,21.4,20.6,21.6,2,20,9,38
2021-09-20 03:00:00,-1.8,-1.4,-0.4,-0.3,-2.0,-1.6,0.0,0.0,0.0,0.0,20.6,21.0,96.2,97.2,0.5,1.9,0.8,2.2,0.2,276.1,2.0,945.7,947,0,0.0,19.5,19.9,19.9,20.4,3,20,9,38
2021-09-20 04:00:00,-1.9,-1.8,-0.4,-0.3,-2.1,-1.9,0.0,0.0,0.0,0.0,20.9,21.3,95.4,97.4,0.7,3.0,1.1,3.7,0.3,255.7,3.0,945.6,946,0,0.0,19.9,20.4,20.1,20.5,4,20,9,38
2021-09-20 05:00:00,-1.8,-1.5,-0.3,-0.2,-2.0,-1.6,0.0,0.3,0.0,0.3,20.3,20.5,97.7,98.7,0.0,0.9,0.1,1.7,0.0,357.5,0.3,945.9,946,0,0.0,19.4,19.6,19.8,20.1,5,20,9,38
2021-09-20 06:00:00,35.9,118.6,24.9,127.2,32.3,95.5,35.0,111.3,35.3,112.0,20.7,21.5,98.0,98.9,0.1,1.2,0.1,1.4,0.0,0.6,0.4,945.6,947,0,0.0,20.5,22.7,21.5,25.0,6,20,9,38
2021-09-20 07:00:00,237.7,349.1,283.8,398.0,143.5,177.2,217.8,325.0,216.7,322.8,23.5,25.0,88.0,96.3,0.3,1.7,0.7,2.4,0.2,338.5,2.8,947.8,948,0,0.0,26.2,32.6,33.2,43.6,7,20,9,38
2021-09-20 08:00:00,457.7,564.3,444.4,489.2,214.5,256.0,435.4,544.5,433.6,543.6,26.7,27.7,71.2,79.8,0.5,2.0,0.9,2.7,0.3,352.8,6.0,948.7,949,0,0.0,44.7,53.0,52.4,57.3,8,20,9,38
2021-09-20 09:00:00,613.2,805.0,422.5,557.0,299.4,359.2,593.6,782.8,594.4,785.5,28.6,29.4,61.9,68.3,0.8,1.9,1.4,2.4,0.5,67.9,8.1,949.0,949,0,0.0,59.7,69.7,58.4,64.9,9,20,9,38
