Model Name,Target,RMSE,MAE,Elapsed Time(s)
TCN Model without Covariates,Wind Speed,0.9355837961891093,0.6750179603923044,75.8655195236206
TCN Model with Covariates,Wind Speed,0.8891602791414233,0.6176171862150553,76.48281407356262
TCN Model without Covariates,Wind Direction,98.261668573228,69.99460117119142,75.51799392700195
TCN Model with Covariates,Wind Direction,96.872941707728,71.26498490051388,75.89253878593445
Transformer Model without Covariates,Wind Speed,0.952488695030206,0.6870882188748975,97.16952753067017
Transformer Model with Covariates,Wind Speed,0.8958555785288542,0.6422341007349939,97.16898775100708
Transformer Model without Covariates,Wind Direction,116.61705766927402,99.00143102192253,97.47383499145508
Transformer Model with Covariates,Wind Direction,115.71875336912869,97.98721534478378,101.69224715232849
Block RNN Model without Covariates,Wind Speed,0.9649866247830917,0.712045219979647,76.42857384681702
Block RNN Model with Covariates,Wind Speed,0.9354370312031508,0.6636415888303697,79.08917093276978
Block RNN Model without Covariates,Wind Direction,95.6269840474007,68.2749981994468,79.7504768371582
Block RNN Model with Covariates,Wind Direction,97.13455765385565,69.09966539064601,77.7926938533783
